Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
1,KESHAW PRASAD SINGH AND MANGAL RAY MICROFINANCE FOUNDATION,"U65992BR2015NPL024032
ROHTAS (Bihar)","C/O VINAY KUMAR SINGH, EAST MOHAN BIGHA, DEHRI ON SONE, WARD NO 15, POST DALMIANAGAR, ROHTAS, BIHAR, INDIA 821311, ROHTAS, ROHTAS (Bihar) - 821311",--
2,RAJA BHAIYA FOUNDATION,"U80901BR2022NPL056293
VAISHALI (Bihar)","VIL-AFAJALPUR, P.O-CHAKMARUF, PANC- MISRAULIA AFAJALPUR, VAISHALI, VAISHALI, VAISHALI (Bihar) - 844118",--
3,SIKSHA AAROGYAM FOUNDATION,"U85300BR2022NPL057204
PATNA (Bihar)","C/O SRI VIRENDRA MOHAN PD NEW YARPUR BEHIND JHUN MAHAL GARDANIBAGH PATNA Patna BR 800001 IN, GARDANIBAGH, PATNA (Bihar) - 800001",--
4,STYASWARAAJ THE HELPING HAND FOUNDATION,"U85300BR2022NPL056203
BUXAR (Bihar)","KIRAN KUMARI C/O VILL PANDEYPATTI PANCH PANDEYPATTI, Buxar, BUXAR, Bihar, India, 802103, BUXAR, BUXAR (Bihar) - 802103",--
5,3H FOUNDATION,"058489
MUZAFFARPUR (Bihar)","C/O RUKHSANA KHATOON,VILL-MUZAFFARPUR TOLA WARD NO33,BLOCK-MUSAHRI MUZAFFARPUR Muzaffarpur BR 842002 IN , MUZAFFARPUR, MUZAFFARPUR (Bihar) - 842002",--
6,A. P. J. ABDUL KALAM ACADEMY EDUCATIONAL AND WELFARE TRUST,"AK878949
KATIHAR (Bihar)","Azamnagar, P.o Azamnagar, P.s Azamnagar Dist- Katihar (Bihar) 855113, Azamnagar, KATIHAR (Bihar) - 855113",--
7,A.H.R PARIWAR FOUNDATION,"U88900BR2024NPL071932
SAMASTIPUR (Bihar)","MOHANPUR ROAD, MEN ROAD, SAMASTIPUR, SAMASTIPUR (Bihar) - 848101",--
8,Aacharya Bhagwat Foundation,"U85300BR2019NPL044298
PASHCHIM CHAMPARAN (Bihar)","H.N. 370, WARD NO. 23, KAMALNATH NAGAR, NEAR-GOPAL JEE MAHTO COACHING COMPLEX, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845438",--
9,AADER FOUNDATION,"U85300BR2021NPL054049
PATNA (Bihar)","AADER FOUNDATION, WEST BORING CANAL ROAD S K PURI PATNAPATNA, Bihar,800013, Patna, PATNA (Bihar) - 800013",--
10,AADHINANDA FOUNDATION,"U85300BR2022NPL060765
SHEIKHPURA (Bihar)","C/O KANTI DEVI, VILL CHEWARA PANCH -CHEWARA SHEIKHPURA, SHEIKHPURA, SHEIKHPURA (Bihar) - 811304","Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Skill Development, Women's Development & Empowerment"
11,AADHIRA SWAWLAMBI ASSOCIATION,"U88900BR2024NPL068679
MADHUBANI (Bihar)","VILL TOLA-MAINI, ANDHRA, MADNA, ANDHRATHARHI, MADHUBANI BIHAR 847401, ANDHRATHARHI, MADHUBANI (Bihar) - 847401",--
12,AADITYA JAI PRAKASH CHARITABLE FOUNDATION,"U85490BR2024NPL068320
PURBI CHAMPARAN (Bihar)","C/O JAI PRAKASH ,VILL-GOBINDPUR ,TOLA-GOBINDPUR, PANCH-GHIWADHARH,BLOCK-HARSIDHI,GOVINDPUR,EAST CHAMPARAN,BIHAR-845411, GOVINDPUR, PURBI CHAMPARAN (Bihar) - 845411",--
13,AADIYOGI EDUCATIONAL & WELLFAIR ASSOCIATION,"U80902BR2022NPL058756
GOPALGANJ (Bihar)","AADIYOGI EDUCATIONAL, Gopalganj, GOPALGANJ (Bihar) - 841428",--
