Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
1,99 SOCIAL HARTATORY AND NOVEL FOUNDATION,"015776
DHANBAD (Jharkhand)","C/O PRAMOD KR. SINGH, VILL-SUSNILEWA P-O-NAGNAGAR P-S-BARWADDA, Dhanbad, DHANBAD,Jharkhand, India, 828103, Dhanbad, DHANBAD (Jharkhand) - 828103",--
2,AABAD SOCIAL WELFARE FOUNDATION,"U85300JH2022NPL019769
BOKARO (Jharkhand)","JHIRKY KATHARA, BOKARO, BOKARO, JHARKHAND, INDIA, 829116, JHARKHAND, BOKARO (Jharkhand) - 829116",--
3,AADIDEV NIRVIGHANA FOUNDATION,"U85300JH2020NPL014860
EAST SINGHBUM (Jharkhand)","C/O DR. SWETA DEO, NEAR BLOCK OFFICE, FULDUNGRI, GHATSILA, EAST SINGHBHUM, PIN- 832303, GHATSILA, EAST SINGHBUM (Jharkhand) - 832303",--
4,AADIVASI WELFARE FOUNDATION,"U85300JH2018NPL021846
SARAIKELA KHARSAWAN (Jharkhand)","Plot No. 8185, Near Srinath University, Sri Krishna Road, Dindli Basti, Manjhi Tola, Adityapur, 831013, Jharkhand, Jamshedpur, SARAIKELA KHARSAWAN (Jharkhand) - 831013",--
5,AAGIL TRIBE DEVELOP & LAKCHAR FOUNDATION,"022718
EAST SINGHBUM (Jharkhand)","C/O N . MURMU, Kalapathar, Chakulia, Jamshedpur, East Singhbhum- 832301, Jharkhand, Chakulia, EAST SINGHBUM (Jharkhand) - 832301",--
6,AANYAMAAN SKILLS & EDUCATION FOUNDATION,"U88900JH2025NPL024845
RANCHI (Jharkhand)","BALAJI APPARTMENT, NO 1 G. FLOOR,SINGH MORE,HATIA,RANCHI,JHARKHAND, Namkum, RANCHI (Jharkhand) - 834003","Agriculture, Education & Literacy, Food Processing, Health & Family Welfare, Information & Communication Technology, Micro Small & Medium Enterprises, Science & Technology, Skill Development, Sports, Urban Development & Poverty Alleviation"
7,AAPDA MITRA SEWA FOUNDATION,"021312
HAZARIBAGH (Jharkhand)","C/O RAM KESHWAR SINGH, CHOUPARAN, CHOUPARAN, HAZARIBAGH (Jharkhand) - 825406",--
8,Aarambh Arya Foundation,"U85300JH2022NPL018868
PALAMU (Jharkhand)","Ward No-9A, Gayatri Mandir Road, Medininagar, Palamau, Jharkhand, Medininagar(Daltonganj), PALAMU (Jharkhand) - 822101","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
9,AARYAVART GRAMIN VIKAS FOUNDATION,"U85500JH2023NPL021285
RANCHI (Jharkhand)","Opst Tata Motors, BUDHIYA Agency, Dumardaga Booti More, Ranchi, Ranchi, Jharkhand, India, RANCHI, RANCHI (Jharkhand) - 835217",--
10,AASHAYENFORTUNATEFOUNDATION,"U88100JH2023NPL021759
PALAMU (Jharkhand)","C/O :MITHLESH KUMAR MISHRA ,VILL-PANERIBANDH,PO-SHAPUR,PS,CHAINPUR,PALAMU,JHARKHAND-822110, DALTONGANJ, PALAMU (Jharkhand) - 822110",--
11,Abhinav Gram Foundation,"U85320JH2016NPL009132
RANCHI (Jharkhand)","H.NO 265-C, Road no-1, Ashok Nagar, Ranchi, 834002, Jharkhand., Ranchi, RANCHI (Jharkhand) - 834002",--
12,ABHINAV SILK PRIVATE LIMITED,"U17309JH2017PTC010498
RANCHI (Jharkhand)","&quot;ASHREYA&quot; BEHIND SHIRDI SAI HOSPITAL, BARIATU, RANCHI, RANCHI (Jharkhand) - 834009",--
13,ABHISARIKA FOUNDATION,"U88900JH2024NPL022981
DHANBAD (Jharkhand)","ABHISARIKA FOUNDATION, HOUSE NO.-221, DYKE AREA, MAITHON, NIRSA 2, MAITHON DAM, DHANBAD, DHANBAD-828207(JHARKHAND), DHANBAD, DHANBAD (Jharkhand) - 828207",--
14,Abua Santhal Samaj Bharat Dishom Foundation,"U88900JH2025NPL024573
RANCHI (Jharkhand)","C/o Susana Minz, Argora Tungri Toli, Near St. Francis School, Harmu, PO- Argora, PS- Argora, Ranchi, Jharkhand - 834002, Bero, RANCHI (Jharkhand) - 834002","Aged/Elderly, Agriculture, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, Nutrition, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Women's Development & Empowerment, Youth Affairs"
